run,neurons,optimizer,lr,dropout,l2,batchnorm,val_acc,val_auc,val_f1,test_acc,test_auc,test_f1,best_epoch
run001_neu32_optadam_lr0.001_do0.3_l20.0_bnFalse,32,adam,0.001,0.3,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,100
run002_neu32_optadam_lr0.001_do0.5_l20.0_bnFalse,32,adam,0.001,0.5,0.0,False,1.0,1.0,1.0,0.875,1.0,0.8571428571428571,100
run003_neu32_optadam_lr0.001_do0.3_l20.0001_bnFalse,32,adam,0.001,0.3,0.0001,False,1.0,1.0,1.0,0.875,1.0,0.8571428571428571,100
run004_neu32_optadam_lr0.001_do0.3_l20.0_bnTrue,32,adam,0.001,0.3,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,100
run005_neu32_optadam_lr0.0003_do0.3_l20.0_bnFalse,32,adam,0.0003,0.3,0.0,False,1.0,1.0,1.0,0.875,1.0,0.8571428571428571,100
run006_neu32_optadam_lr0.0003_do0.5_l20.0_bnFalse,32,adam,0.0003,0.5,0.0,False,1.0,1.0,1.0,0.875,1.0,0.8571428571428571,100
run007_neu32_optadam_lr0.0003_do0.3_l20.0001_bnFalse,32,adam,0.0003,0.3,0.0001,False,1.0,1.0,1.0,0.875,1.0,0.8571428571428571,100
run008_neu32_optadam_lr0.0003_do0.3_l20.0_bnTrue,32,adam,0.0003,0.3,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,100
run009_neu32_optsgd_lr0.01_do0.3_l20.0_bnFalse,32,sgd,0.01,0.3,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,100
run010_neu32_optsgd_lr0.01_do0.5_l20.0_bnFalse,32,sgd,0.01,0.5,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,100
run011_neu32_optsgd_lr0.01_do0.3_l20.0001_bnFalse,32,sgd,0.01,0.3,0.0001,False,1.0,1.0,1.0,1.0,1.0,1.0,100
run012_neu32_optsgd_lr0.01_do0.3_l20.0_bnTrue,32,sgd,0.01,0.3,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,100
run013_neu32_optsgd_lr0.005_do0.3_l20.0_bnFalse,32,sgd,0.005,0.3,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,100
run014_neu32_optsgd_lr0.005_do0.5_l20.0_bnFalse,32,sgd,0.005,0.5,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,100
run015_neu32_optsgd_lr0.005_do0.3_l20.0001_bnFalse,32,sgd,0.005,0.3,0.0001,False,1.0,1.0,1.0,1.0,1.0,1.0,100
run016_neu32_optsgd_lr0.005_do0.3_l20.0_bnTrue,32,sgd,0.005,0.3,0.0,True,1.0,1.0,1.0,0.875,1.0,0.8571428571428571,100
run017_neu64_optadam_lr0.001_do0.3_l20.0_bnFalse,64,adam,0.001,0.3,0.0,False,1.0,1.0,1.0,0.875,1.0,0.8571428571428571,100
run018_neu64_optadam_lr0.001_do0.5_l20.0_bnFalse,64,adam,0.001,0.5,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,100
run019_neu64_optadam_lr0.001_do0.3_l20.0001_bnFalse,64,adam,0.001,0.3,0.0001,False,1.0,1.0,1.0,0.875,1.0,0.8571428571428571,100
run020_neu64_optadam_lr0.001_do0.3_l20.0_bnTrue,64,adam,0.001,0.3,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,100
run021_neu64_optadam_lr0.0003_do0.3_l20.0_bnFalse,64,adam,0.0003,0.3,0.0,False,1.0,1.0,1.0,0.875,1.0,0.8571428571428571,100
run022_neu64_optadam_lr0.0003_do0.5_l20.0_bnFalse,64,adam,0.0003,0.5,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,100
run023_neu64_optadam_lr0.0003_do0.3_l20.0001_bnFalse,64,adam,0.0003,0.3,0.0001,False,1.0,1.0,1.0,0.875,1.0,0.8571428571428571,100
run024_neu64_optadam_lr0.0003_do0.3_l20.0_bnTrue,64,adam,0.0003,0.3,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,100
run025_neu64_optsgd_lr0.01_do0.3_l20.0_bnFalse,64,sgd,0.01,0.3,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,100
run026_neu64_optsgd_lr0.01_do0.5_l20.0_bnFalse,64,sgd,0.01,0.5,0.0,False,1.0,1.0,1.0,0.875,1.0,0.8571428571428571,100
run027_neu64_optsgd_lr0.01_do0.3_l20.0001_bnFalse,64,sgd,0.01,0.3,0.0001,False,1.0,1.0,1.0,1.0,1.0,1.0,100
run028_neu64_optsgd_lr0.01_do0.3_l20.0_bnTrue,64,sgd,0.01,0.3,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,100
run029_neu64_optsgd_lr0.005_do0.3_l20.0_bnFalse,64,sgd,0.005,0.3,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,100
run030_neu64_optsgd_lr0.005_do0.5_l20.0_bnFalse,64,sgd,0.005,0.5,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,100
run031_neu64_optsgd_lr0.005_do0.3_l20.0001_bnFalse,64,sgd,0.005,0.3,0.0001,False,1.0,1.0,1.0,1.0,1.0,1.0,100
run032_neu64_optsgd_lr0.005_do0.3_l20.0_bnTrue,64,sgd,0.005,0.3,0.0,True,1.0,1.0,1.0,0.875,1.0,0.8571428571428571,100
run033_neu128_optadam_lr0.001_do0.3_l20.0_bnFalse,128,adam,0.001,0.3,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,100
run034_neu128_optadam_lr0.001_do0.5_l20.0_bnFalse,128,adam,0.001,0.5,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,100
run035_neu128_optadam_lr0.001_do0.3_l20.0001_bnFalse,128,adam,0.001,0.3,0.0001,False,1.0,1.0,1.0,1.0,1.0,1.0,100
run036_neu128_optadam_lr0.001_do0.3_l20.0_bnTrue,128,adam,0.001,0.3,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,100
run037_neu128_optadam_lr0.0003_do0.3_l20.0_bnFalse,128,adam,0.0003,0.3,0.0,False,1.0,1.0,1.0,0.875,1.0,0.8571428571428571,100
run038_neu128_optadam_lr0.0003_do0.5_l20.0_bnFalse,128,adam,0.0003,0.5,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,100
run039_neu128_optadam_lr0.0003_do0.3_l20.0001_bnFalse,128,adam,0.0003,0.3,0.0001,False,1.0,1.0,1.0,0.875,1.0,0.8571428571428571,100
run040_neu128_optadam_lr0.0003_do0.3_l20.0_bnTrue,128,adam,0.0003,0.3,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,100
run041_neu128_optsgd_lr0.01_do0.3_l20.0_bnFalse,128,sgd,0.01,0.3,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,100
run042_neu128_optsgd_lr0.01_do0.5_l20.0_bnFalse,128,sgd,0.01,0.5,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,100
run043_neu128_optsgd_lr0.01_do0.3_l20.0001_bnFalse,128,sgd,0.01,0.3,0.0001,False,1.0,1.0,1.0,1.0,1.0,1.0,100
run044_neu128_optsgd_lr0.01_do0.3_l20.0_bnTrue,128,sgd,0.01,0.3,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,100
run045_neu128_optsgd_lr0.005_do0.3_l20.0_bnFalse,128,sgd,0.005,0.3,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,100
run046_neu128_optsgd_lr0.005_do0.5_l20.0_bnFalse,128,sgd,0.005,0.5,0.0,False,1.0,1.0,1.0,0.875,1.0,0.8571428571428571,100
run047_neu128_optsgd_lr0.005_do0.3_l20.0001_bnFalse,128,sgd,0.005,0.3,0.0001,False,1.0,1.0,1.0,0.875,1.0,0.8571428571428571,100
run048_neu128_optsgd_lr0.005_do0.3_l20.0_bnTrue,128,sgd,0.005,0.3,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,100
